,profession,Corrected,Categorie
2328,fonctionnaire aux nations unies,Fonctionnaire aux nations unies,transport
2332,etudiant,étudiant,enseignement
2333,autre,autre,None
2334,autre,autre,None
2335,missionnaire,missionnaire,transport
2337,communication/marketing,Communication/marketing,None
2338,autre,autre,None
2339,autre,autre,None
2340,autre,autre,None
2341,autre,autre,None
2342,chef d'entreprise,Chef d'entreprise,transport
2343,autre,autre,None
2345,agent de sante,Agent de santé,médical
2350,autre,autre,None
2351,autre,autre,None
2352,eleve,élevé,None
2353,retraite,retraite,transport
2355,femme de menage,Femme de ménage,None
2356,commercante,commerçant,commerçant
2357,financier,financier,enseignement
2358,ingenieur biomedical,ingénieur biomédical,enseignement
2359,autre,autre,None
2361,eleve,élevé,None
2362,etudiant,étudiant,enseignement
2364,administrateur,administrateur,None
2365,vendeur,vendeur,commerçant
2368,retraite,retraite,transport
2369,agent commercial,Agent commercial,transport
2370,medecin,médical,médical
2371,etudiante,étudiante,enseignement
2372,medecin,médical,médical
2373,pilote,pilote,None
2374,retraite,retraite,transport
2375,etudiante,étudiante,enseignement
2377,agent d accueil,Agent d'accueil,None
2378,technicienne radiologique,Technicienne radiologique,None
2379,infirmiere,infirmière,médical
2380,menagere,ménagère,None
2381,menagere,ménagère,None
2382,concierge,concierge,None
2383,infirmier,infirmier,médical
2384,autre,autre,None
2385,styliste,styliste,None
2386,receptionniste,réceptionniste,None
2387,menagere,ménagère,None
2388,agent bicis,Agent biais,None
2391,gardien,gardien,None
2392,agent de securite,Agent de sécurité,None
2393,chef d'entreprise,Chef d'entreprise,transport
2394,technicien radiologie,technicienne radiologie,médical
2395,agent d'accueil,Agent d'accueil,None
2396,medecin radiologie,médecin radiologie,médical
2397,infirmier imodsen,Infirmier mode,None
2398,administrateur,administrateur,None
2400,eleve,élevé,None
2401,traducteur,traducteur,None
2402,eleve,élevé,None
2403,domestique,domestique,None
2404,eleve,élevé,None
2405,responsable banque mondiale,Responsable banque mondiale,commerçant
2406,professeur en pharmacie,Professeur en pharmacie,médical
2407,retraite,retraite,transport
2408,medecin,médical,médical
2409,commerciale,commerçant,commerçant
2410,enseignant,enseignement,enseignement
2411,chauffeur,chauffeur,transport
2412,autre,autre,None
2413,autre,autre,None
2414,agent logistique,Agent logistique,transport
2415,mecanicien,mécanicien,None
2416,commercant,commerçant,commerçant
2418,autre,autre,None
2419,autre,autre,None
2420,industriel,industriel,commerçant
2421,mecanicien,mécanicien,None
2422,menagere,ménagère,None
2423,gerant de l'immeuble,gérant de l'immeuble,None
2425,professionnel de sante,Professionnel de santé,médical
2426,mecanicien,mécanicien,None
